n,sigma,error
50,1.0,0.0005503425228050585
50,0.5,1.0956998883315805e-05
100,1.0,0.0002796694331890226
100,0.5,2.684406483766111e-06
150,1.0,0.00018744364748868314
150,0.5,1.185039166351487e-06
200,1.0,0.00014096792026818683
200,0.5,6.643782959336875e-07
250,1.0,0.00011296567794616408
250,0.5,4.2434991875950345e-07
300,1.0,9.42409802411337e-05
300,0.5,2.942912287196009e-07
350,1.0,8.084111357709034e-05
350,0.5,2.1600909061447737e-07
400,1.0,7.077933061672148e-05
400,0.5,1.6525947943435426e-07
450,1.0,6.294390513694736e-05
450,0.5,1.3050876468412298e-07
500,1.0,5.6670078701692717e-05
500,0.5,1.05667177230373e-07
550,1.0,5.153444154082365e-05
550,0.5,8.7297428841282e-08
600,1.0,4.725183935150312e-05
600,0.5,7.332729801134974e-08
650,1.0,4.3626145680875084e-05
650,0.5,6.24552183303706e-08
700,1.0,4.051774433477817e-05
700,0.5,5.383578960405089e-08
750,1.0,3.782259923390541e-05
750,0.5,4.68827363597768e-08
800,1.0,3.5463459088225235e-05
800,0.5,4.119093244270289e-08
850,1.0,3.338162159383096e-05
850,0.5,3.649073798683844e-08
900,1.0,3.1530585024031055e-05
900,0.5,3.254280267483978e-08
950,1.0,2.9873934544788483e-05
950,0.5,2.918973018850579e-08
1000,1.0,2.838282843287132e-05
1000,0.5,2.631738338365608e-08
